"id","date","station_name","station_code","parameter","average_temperature","standard_deviation","highest_temperature","lowest_temperature","state_name","district_name","state_code","district_code"
0,"1969-01-01","bhuntar","42081","minimum temperature",1.4,1.4,1.4,1.4,"himachal pradesh","kullu","02","020"
1,"1969-02-01","bhuntar","42081","minimum temperature",3.5,2.7,3.5,3.5,"himachal pradesh","kullu","02","020"
2,"1969-03-01","bhuntar","42081","minimum temperature",7.3,4.7,7.3,7.3,"himachal pradesh","kullu","02","020"
3,"1969-04-01","bhuntar","42081","minimum temperature",10.2,6.5,10.2,10.2,"himachal pradesh","kullu","02","020"
4,"1969-05-01","bhuntar","42081","minimum temperature",12.6,8.1,12.6,12.6,"himachal pradesh","kullu","02","020"
5,"1969-06-01","bhuntar","42081","minimum temperature",16.0,9.9,16.0,16.0,"himachal pradesh","kullu","02","020"
6,"1969-07-01","bhuntar","42081","minimum temperature",19.9,11.8,19.9,19.9,"himachal pradesh","kullu","02","020"
7,"1969-08-01","bhuntar","42081","minimum temperature",20.2,13.2,20.2,20.2,"himachal pradesh","kullu","02","020"
8,"1969-09-01","bhuntar","42081","minimum temperature",16.5,13.6,16.5,16.5,"himachal pradesh","kullu","02","020"
9,"1969-10-01","bhuntar","42081","minimum temperature",9.2,13.2,9.2,9.2,"himachal pradesh","kullu","02","020"
10,"1969-11-01","bhuntar","42081","minimum temperature",4.6,12.7,4.6,4.6,"himachal pradesh","kullu","02","020"
11,"1969-12-01","bhuntar","42081","minimum temperature",-0.3,12.1,-0.3,-0.3,"himachal pradesh","kullu","02","020"
12,"1969-01-01","bhuntar","42081","maximum temperature",13.8,13.8,13.8,13.8,"himachal pradesh","kullu","02","020"
13,"1969-02-01","bhuntar","42081","maximum temperature",18.3,16.2,18.3,18.3,"himachal pradesh","kullu","02","020"
14,"1969-03-01","bhuntar","42081","maximum temperature",25.8,19.9,25.8,25.8,"himachal pradesh","kullu","02","020"
15,"1969-04-01","bhuntar","42081","maximum temperature",26.0,21.6,26.0,26.0,"himachal pradesh","kullu","02","020"
16,"1969-05-01","bhuntar","42081","maximum temperature",29.5,23.4,29.5,29.5,"himachal pradesh","kullu","02","020"
17,"1969-06-01","bhuntar","42081","maximum temperature",34.7,25.6,34.7,34.7,"himachal pradesh","kullu","02","020"
18,"1969-07-01","bhuntar","42081","maximum temperature",32.5,26.7,32.5,32.5,"himachal pradesh","kullu","02","020"
